GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000082482	-3.3367454	-2.4962220
ENSG00000082515	-0.0776343	-0.0970429
ENSG00000082556	-1.3860797	0.0000000
ENSG00000082898	-0.0776343	-0.0970429
ENSG00000083097	-0.0776343	-0.0970429
ENSG00000083123	-3.0213499	-1.8387606
ENSG00000083223	-0.0776343	-0.0970429
ENSG00000083312	0.4001719	2.0343072
ENSG00000083457	-0.0776343	-0.0970429
ENSG00000083520	-0.0776343	-0.0970429
ENSG00000083544	-1.3860797	0.0000000
ENSG00000083844	-0.0776343	-0.0970429
ENSG00000084073	-0.0776343	-0.0970429
ENSG00000084090	-0.0776343	-0.0970429
ENSG00000084093	0.0804731	1.6603477
ENSG00000084110	-1.6336046	-1.0046257
ENSG00000084112	3.8269051	6.3610834
ENSG00000084234	-0.0776343	-0.0970429
ENSG00000084453	-1.7682438	-0.8960503
ENSG00000084628	-3.0648936	-2.2318186
ENSG00000084636	-12.5341589	-13.7398428
ENSG00000084693	-0.0776343	-0.0970429
ENSG00000084710	1.2315019	3.2404096
ENSG00000084731	0.2937319	1.9351633
ENSG00000084754	1.1839658	3.1805532
ENSG00000085185	-0.0776343	-0.0970429
ENSG00000085231	-0.0776343	-0.0970429
ENSG00000085276	-1.7615677	-0.8217362
ENSG00000085377	-0.0776343	-0.0970429
ENSG00000085433	-0.0776343	-0.0970429
ENSG00000085449	0.0543501	1.6390719
ENSG00000085465	-1.8577977	-0.7758656
ENSG00000085491	0.3084441	1.9370157
ENSG00000085514	-2.3599515	-0.7050161
ENSG00000085552	-1.3860797	0.0000000
ENSG00000085662	0.5745355	2.2382280
ENSG00000085719	-0.0776343	-0.0970429
ENSG00000085721	-0.0776343	-0.0970429
ENSG00000085831	-3.0408597	-3.8010746
ENSG00000085840	1.2525483	3.2668247
ENSG00000085978	-0.0776343	-0.0970429
ENSG00000086189	-0.0776343	-0.0970429
ENSG00000086300	-0.2060272	-0.2575340
ENSG00000086475	0.1218503	1.7088548
ENSG00000086570	-1.0514495	-1.3143118
ENSG00000086589	-0.0776343	-0.0970429
ENSG00000086717	-1.8006846	-0.9362431
ENSG00000086730	-2.8419854	-1.8742623
ENSG00000086758	-0.0776343	-0.0970429
ENSG00000086827	1.1741941	3.1686907
ENSG00000087152	-0.0776343	-0.0970429
ENSG00000087258	-6.4832244	-6.0723584
ENSG00000087301	-0.0776343	-0.0970429
